"as.factor(Merkmal)";"Median_Wertung";"NA_Count";"Kommentar";"Auspraegung"
"Baumarten II";1;0;"weniger Wasserrückhalt in Humusauflage; NA; gute Streu bedeutet engeres C/N-verhältnis, bedeutet aktive Humusform, bedeutet geringe Auslagenmächtigkeit, bedeutet geringere Hydrophobie: Bei plötzlichen Starkniederschlägen ist die Gefahr von oberflächlichem Abluss deshalb geringer";"Bodenpflegliche Laubbaumarten (Streu), z. B. Bergahorn."
"Baumarten II";1;0;"weniger Wasserrückhalt in Humusauflage; NA; im Unterschied zu oben \"nur einfach\" positiv, weil unter den heimischen Nadelbaumarten lediglich die Weißtanne diese Eigenschaft aufweist. Und sie hat in der regel nur geringere Mischungsanteile (auch von Natur aus).";"Bodenpflegliche Nadelbaumarten (Streu), z.B. Weißtanne."
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA; Begründung analog den Gräsern";"Deckungsgrad Adlerfarn - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Adlerfarn - über 25% bis 50 %"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Adlerfarn - über 50% bis 75%"
"Begleitvegetation";-1;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Adlerfarn - über 75%"
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA; Kräuter meist bodenpfleglich, gute Mineralisierung, geringe Auflagenmächtigkeit, wenig Hydrophobie, geringer Oberflächenabfluss";"Deckungsgrad auff. blühende krautige Pflanzen - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 25% bis 50%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 50% bis 75%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; bei sehr hohen Deckungsgraden haben während der Vegetationsperiode auch sommergrüne Kräuter eine zunehmend hohe Interzeption";"Deckungsgrad auff. blühende krautigePflanzen - über 75%"
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA; Begründung analog den Kräutern (Nitrophyten per se bestens mineralisierbar)";"Deckungsgrad Brombeere - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; zwar gut mineralisierbar, aber eben auch immergrün (daher nun bereits \"neutral\")";"Deckungsgrad Brombeere - über 25% bis 50 %"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; siehe oben";"Deckungsgrad Brombeere - über 50% bis 75%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; siehe oben";"Deckungsgrad Brombeere - über 75%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; siehe oben";"Deckungsgrad Gräser- über 75%"
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Gräser - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; Interzeptionsverluste auch außerhalb der Vegetationsperiode (zwar oft sommergrün, aber dieses Merkmal zeigen auch braune Gräser)";"Deckungsgrad Gräser - über 25% bis 50 %"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; siehe oben";"Deckungsgrad Gräser - über 50% bis 75%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Zwergsträucher- über 25% bis 50 %"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; zwar in Teilen immergrün, aber geringer LAI";"Deckungsgrad Zwergsträucher- über 50% bis 75%"
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Zwergsträucher - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; Art(en) der Begleitvegetation nicht so entscheident; NA; siehe oben";"Deckungsgrad Zwergsträucher - über 75%"
"Bestandesdichte II";1;0;"NA; nun deutlich höhere Risiken bei Störungen im System";"Durchschnittlicher Kronenansatz hoch > 10 m"
"Bestandesdichte II";-2;0;"NA; siehe oben";"Durchschnittlicher Kronenansatz mittel >4-10 m"
"Bestandesdichte II";-1;0;"NA; zwar Interzeptionsverluste, aber Einzelbaumstabilität und in der Folge geringeres Störungsrisiko";"Durchschnittlicher Kronenansatz tief 2-4 m"
"Bestandesschichtung";1;0;"potenziell geringere Interzeption als mehrschichtige Bestände; NA; weniger Interzeptionsverluste";"einschichtig"
"Bestandesdichte I";-1;0;"NA; Interzeptionsverluste maximal";"gedrängt"
"Bestandesdichte I";-2;0;"NA; hohe Interzeption (aber Winruhe)";"geschlossen"
"Baumarten I";1;0;"(Laub-)Baumart entscheident; NA; deutlich positiv, weil nahezu alle unserer heimischen Laubbaumarten sommergrün ist, mithin über viele Monate im Jahr sehr geringe Interzeptionsverluste bewirkt";"Laubbaumarten"
"Baumartenmischung: Mischungsform II";1;2;"Wirkung in Verhältnis zu was?; NA; siehe oben";"Laubholzbestand mit einzeln beigemischten Nadelbäumen."
"Baumartenmischung: Mischungsform II";1;2;"Wirkung in Verhältnis zu was?; NA; siehe oben";"Laubholzbestand mit flächig eingemischten Nadelbäumen."
"Bestandesdichte I";1;0;"NA; Bodenvegetation!; zunehmend fehlendes Waldinnenklima (mehr PAR, weniger Windruhe, abnehmende Luftfeuchtigkeit)";"licht"
"Bestandesdichte I";0;0;"NA; weniger Interzeption, aber noch Windruhe";"locker"
"Bestandesdichte I";1;0;"NA; Bodenvegetation!; siehe oben";"lückig"
"Bestandesschichtung";-1;0;"potenziell höhere Interzeption als einschichtige Bestände; NA";"mehrschichtig"
"Baumartenmischung: Mischungsart";0;2;"Schichtung allein kein Indikator für Trinkwasserproduktion; NA; siehe oben";"Mischbestand"
"Baumartenmischung: Mischungsform I";1;2;"Mischungsform allein kein Indikator für Trinkwasserproduktion; NA; siehe oben";"Mischungsform:  gruppenweise"
"Baumartenmischung: Mischungsform I";1;2;"Mischungsform allein kein Indikator für Trinkwasserproduktion; NA; siehe oben";"Mischungsform:  horstweise"
"Baumartenmischung: Mischungsform I";1;2;"Mischungsform allein kein Indikator für Trinkwasserproduktion; NA; siehe oben";"Mischungsform:  reihen- oder streifenweise"
"Baumartenmischung: Mischungsform I";1;2;"Mischungsform allein kein Indikator für Trinkwasserproduktion; NA; positiv, wenn die Baumarten der Mischungsart wegen voneinander abweichender (Fein-)durchwurzelung das Solum vollständiger aufschließen, als es im reinbestand möglich wäre";"Mischungsform: baumweise"
"Baumartenmischung: Mischungsform I";1;2;"Mischungsform allein kein Indikator für Trinkwasserproduktion; NA; siehe oben";"Mischungsform: truppweise"
"Baumarten II";1;2;"N-Fixierung hat keine Relevanz für Trinkwasserproduktion (Menge); NA; m.E. ist diese Eigenschaft ohne Auswirkung auf die Wasser-MENGE";"N-fixierende Baumarten"
"Baumarten I";-2;0;"(Nadel-)Baumart entscheident, z.B. Fichten negativer als Kiefern; NA; eher negativ, weil der Großteil unserer  heimischen Nadelbaumarten immergrün ist - mithin ganzjährig Interzeptionsverluste bewirkt";"Nadelbaumarten"
"Baumartenmischung: Mischungsform II";1;2;"Wirkung in Verhältnis zu was?; NA; dann positiv, wenn diebeiden BA deutliche unterschiedliche Unterschiede mit Blick auf Wasserspende zeigen (LAI, Kronenarchitektur, Rinde/Borke --> Stammabfluss ja oder nein, sommergrün versus immergrün)";"Nadelholzbestand mit einzeln beigemischten Laubbäumen."
"Baumartenmischung: Mischungsform II";1;2;"Wirkung in Verhältnis zu was?; NA; siehe oben";"Nadelholzbestand mit flächig eingemischten Laubbäumen."
"Baumarten II";-2;2;"zu Roteiche noch zu wenig Forschungsergebnisse verfügbar; NA; siehe oben";"Nicht bodenpflegliche Laubbaumarten (Streu), z. B. Roteiche."
"Baumarten II";-2;0;"höherer Wasserrückhalt in Humusauflage; NA; siehe oben";"Nicht bodenpflegliche Nadelbaumarten (Streu), z. B. Waldkiefer."
"Bestandesschichtung";-2;0;"potenziell höhere Interzeption als einschichtige Bestände; NA; am meisten Interzeptionsverluste";"plenterartig"
"Bestandesdichte I";1;0;"NA; Bodenvegetation!; nun überwiegen die Freiflächenmerkmale";"räumig, räumdig"
"Baumartenmischung: Mischungsart";0;2;"Schichtung allein kein Indikator für Trinkwasserproduktion; NA; mit Blick auf die Wassermenge sind weniger Mischungsfragen relevant, als vielmehr baumartenspezifische Eigenschaften. Und die können bei \"richtiger\" Baumart auch im Reinbestand maximal wirksam sein.";"Reinbestand"
"Bestandesdichte I";-0,5;1;"NA";"stark differenziert"
"Baumarten II";1,5;1;"NA; vollständiges Auschließen des Solums, Wasserreserven bei Niederschlagsdefiziten in tieferen Horizonten";"Tief u.o. intensiv wurzelnde Baumarten, z.B. Eichen, Weißtanne."
"Bestandesschichtung";-2;0;"potenziell höhere Interzeption als einschichtige Bestände; NA";"zweischichtig"
